Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
1999_06_15,1999,6,15,1.753846154,0,0,0,26.35,31.5,23.2,7.06,41.8
1999_06_16,1999,6,16,0.011538462,0,0,0,27.15,32.04,23.7,7.02,28.8
1999_06_17,1999,6,17,0.242307692,0,0,0,28.2,32.82,24.24,8.16,28.8
1999_06_18,1999,6,18,0.615384615,0,0,0,29.2,32.9,26.14,8.78,31.3
1999_06_19,1999,6,19,0.007692308,0,0,0,28.9,32.86,25.6,9.86,29.9
1999_06_20,1999,6,20,0.242307692,0,0,0,28.225,32.78,24.34,7.94,47.2
1999_06_21,1999,6,21,3.384615385,0,0,0,28.9,33.42,25.1,8.42,29.2
1999_06_22,1999,6,22,1.4,0,0,0,28.55,33,24.76,7.98,25.2
1999_06_23,1999,6,23,0.023076923,0,0,0,27.8,31.64,25.2,6.98,27
1999_06_24,1999,6,24,0.407692308,0,0,0,27.8,32.46,24.76,7.38,35.6
1999_06_25,1999,6,25,4.046153846,0,0,0,25.775,27.76,24.02,6.5,25.2
1999_06_26,1999,6,26,25.98076923,0,0,0,27.275,32.46,23,8.96,39.6
1999_06_27,1999,6,27,0.542307692,0,0,0,26.2,29.84,22.1,5.64,48.6
1999_06_28,1999,6,28,2.173076923,0,0,0,26.725,31.72,23.86,7.08,28.4
1999_06_29,1999,6,29,20.80769231,0,0,0,25.9,30.5,23.62,7.78,42.8
1999_06_30,1999,6,30,0.226923077,0,0,0,26.525,30.66,23.4,7.26,41
1999_07_01,1999,7,1,1.907692308,0,0,0,27.825,32.14,23.64,8.8,41.8
1999_07_02,1999,7,2,2.15,0,0,0,26.9,30.38,23.3,6.12,33.5
1999_07_03,1999,7,3,10.95,0,0,0,25.5,28.48,23.9,6.6,38.2
1999_07_04,1999,7,4,3.019230769,0,0,0,26.775,30.44,24.14,6.44,21.6
1999_07_05,1999,7,5,1.35,0,0,0,26.5,31.36,23.74,7.22,34.2
1999_07_06,1999,7,6,13.05,0,0,0,25.55,29.6,23.88,6.14,30.2
1999_07_07,1999,7,7,3.073076923,0,0,0,25.63333333,28.42,23.74,6.56,23.8
1999_07_08,1999,7,8,0.476923077,0,0,0,26.9,31.28,23.22,7.34,27.4
1999_07_09,1999,7,9,0.296153846,0,0,0,27.76666667,31.98,24.06,8.08,23.4
1999_07_10,1999,7,10,24.83461538,0,0,0,25.96666667,31.5,22.68,8.46,37.8
1999_07_11,1999,7,11,2.903846154,0,0,0,26.7,31.14,22.66,8.18,32.8
1999_07_12,1999,7,12,0.930769231,0,0,0,27.175,30.72,24.72,9,29.5
1999_07_13,1999,7,13,0,0,0,0,27.625,31.66,24.7,7.92,21.6
1999_07_14,1999,7,14,17.49230769,0,0,0,25.2,30.38,22.56,9.52,45.4
1999_07_15,1999,7,15,29.32692308,0,0,0,24.875,29.6,21.88,6.52,39.6
1999_07_16,1999,7,16,0.011538462,0,0,0,26,30.92,21.78,7.28,27
1999_07_17,1999,7,17,0.003846154,0,0,0,27.46666667,31.3,24.38,8.22,26.3
1999_07_18,1999,7,18,0,0,0,0,28.16666667,32.24,24.24,7.9,24.1
1999_07_19,1999,7,19,0,0,0,0,28.475,32.72,24.88,10.36,30.6
1999_07_20,1999,7,20,0,0,0,0,28.75,32.14,25.82,9.82,28.8
1999_07_21,1999,7,21,0,0,0,0,28.65,32.1,25.86,10.42,31
1999_07_22,1999,7,22,0.053846154,0,0,0,28.4,31.98,25.36,9.44,36.4
1999_07_23,1999,7,23,0,0,0,0,28.675,32.18,25.62,9.94,31.7
1999_07_24,1999,7,24,2.484615385,0,0,0,28.425,31.74,25.54,9.64,35.6
1999_07_25,1999,7,25,1.611538462,0,0,0,28.375,32.02,25.56,12.18,37.4
1999_07_26,1999,7,26,0.019230769,0,0,0,28.5,32.16,25.36,10.28,31.7
1999_07_27,1999,7,27,0,0,0,0,28.35,32.82,24.36,10.24,27.7
1999_07_28,1999,7,28,7.015384615,0,0,0,28.73333333,33.42,24.34,9.42,27.7
1999_07_29,1999,7,29,41.07692308,0,0,0,27.13333333,31.04,22.56,9.42,42.1
1999_07_30,1999,7,30,13.21153846,0,0,0,27.175,31.98,22.56,8.92,37.8
1999_07_31,1999,7,31,7.769230769,0,0,0,27.6,31.78,23.46,8.5,30.6
1999_08_01,1999,8,1,0.023076923,0,0,0,27.7,32.4,23.48,7.9,31
1999_08_02,1999,8,2,1.734615385,0,0,0,28,31.76,24.92,10.18,31.7
1999_08_03,1999,8,3,0,0,0,0,28.275,32.32,24.66,9.94,28.1
1999_08_04,1999,8,4,0.003846154,0,0,0,28.43333333,31.8,25.72,10.02,33.5
1999_08_05,1999,8,5,6.911538462,0,0,0,27.06666667,31.44,24.38,7.84,43.6
1999_08_06,1999,8,6,0.846153846,0,0,0,27.43333333,31.36,24.74,9.16,41.4
1999_08_07,1999,8,7,3.419230769,0,0,0,27.6,31.52,24.74,8.74,36
